Feature ID,Description,Feature Name,Module,Priority,Release,Status
NOTIF-002,The system can notify customers about changes to their order status.,Order Notification,NOTIF,High,MVP,Planned
NOTIF-003,The system can notify customers about payment events and payment status changes.,Payment Notification,NOTIF,High,MVP,Planned
NOTIF-004,The system can send selected transactional notifications through WhatsApp.,WhatsApp Notification,NOTIF,Medium,v1.1,Planned
ADMIN-001,"Administrators can view key marketplace metrics, operational summaries, and system status.",Admin Dashboard,ADMIN,High,MVP,Planned
ADMIN-002,Administrators can view and manage customer accounts and user-related information.,User Management,ADMIN,High,MVP,Planned
ADMIN-003,The system records and allows administrators to review important administrative and system activities.,Activity Log.,ADMIN,Medium,MVP,Planned
ADMIN-004,Administrators can manage configurable marketplace and system settings.,System Settings,ADMIN,Medium,MVP,Planned
CUST-005,Customers can view in-app notifications related to their account and activities.,Notification Center,CUST,Medium,MVP,Planned
PROD-013,The system can manage brands associated with products in the Ruma catalog.,Brand Management,PROD,High,MVP,Planned
PROD-014,The system can manage suppliers associated with products in the Ruma catalog.,Supplier Management,PROD,High,MVP,Planned
