Feature ID,Module,Feature Name,Description,Priority,Release,Status
PAY-003,PAY,Payment Callback,Callback dari payment gateway.,High,MVP,Planned
PAY-004,PAY,Payment Status,Menampilkan status pembayaran.,High,MVP,Planned
PAY-005,PAY,Invoice,Membuat invoice.,High,MVP,Planned
PAY-006,PAY,Manual Bank Transfer,Transfer manual.,Medium,v1.1,Planned
ORDER-001,ORDER,Order History,Customers can view their previous and current orders and transaction history.,High,MVP,Planned
ORDER-002,ORDER,Order Detail,"Customers can view detailed information about an order, including items, payment, shipping, and order status.",High,MVP,Planned
ORDER-003,ORDER,Order Tracking,Customers can track the status and shipment progress of their orders.,High,MVP,Planned
ORDER-004,ORDER,Cancel Order,Customers can cancel eligible orders before the order enters processing or fulfillment.,High,MVP,Planned
ORDER-005,ORDER,Confirm Received,Customers can confirm that an order has been successfully received.,High,MVP,Planned
INV-001,INV,Stock Management,Administrators can monitor and manage product stock levels across the Ruma catalog.,High,MVP,Planned
INV-002,INV,Stock Adjustment,Authorized administrators can adjust stock quantities and record the reason for each adjustment.,High,MVP,Planned
INV-003,INV,Low Stock Alert,The system can notify authorized users when product stock reaches a defined low-stock threshold.,Medium,MVP,Planned
INV-004,INV,Stock History,The system can record and display historical changes to product stock quantities.,Medium,MVP,Planned
PROMO-001,PROMO,Banner Management,"Administrators can create, update, schedule, and manage promotional banners displayed across Ruma.",Medium,MVP,Planned
PROMO-002,PROMO,Voucher Management,"Administrators can create and manage vouchers with defined eligibility, validity, and usage rules.",Medium,v1.1,Planned
PROMO-003,PROMO,Product Discount,Administrators can configure discounts for eligible products during a defined promotional period.,Medium,v1.1,Planned
PROMO-004,PROMO,Flash Sale,Administrators can configure time-limited promotional campaigns with selected products and promotional prices.,Low,v2.0,Planned
REPORT-001,REPORT,Sales Report,Administrators can view reports of completed and processed sales transactions.,High,MVP,Planned
REPORT-002,REPORT,Revenue Report,Administrators can monitor revenue generated from marketplace transactions.,High,MVP,Planned
REPORT-003,REPORT,Product Report,"Administrators can analyze product performance, including sales and product-level activity.",Medium,v1.1,Planned
REPORT-004,REPORT,Customer Report,Administrators can view customer-related metrics and purchasing activity.,Medium,v1.1,Planned
NOTIF-001,NOTIF,Email Notification,The system can send relevant transactional and account notifications through email.,High,MVP,Planned
NOTIF-002,NOTIF,Order Notification,The system can notify customers about changes to their order status.,High,MVP,Planned
NOTIF-003,NOTIF,Payment Notification,The system can notify customers about payment events and payment status changes.,High,MVP,Planned
NOTIF-004,NOTIF,WhatsApp Notification,The system can send selected transactional notifications through WhatsApp.,Medium,v1.1,Planned
ADMIN-001,ADMIN,Admin Dashboard,"Administrators can view key marketplace metrics, operational summaries, and system status.",High,MVP,Planned
ADMIN-002,ADMIN,User Management,Administrators can view and manage customer accounts and user-related information.,High,MVP,Planned
ADMIN-003,ADMIN,Activity Log.,The system records and allows administrators to review important administrative and system activities.,Medium,MVP,Planned
ADMIN-004,ADMIN,System Settings,Administrators can manage configurable marketplace and system settings.,Medium,MVP,Planned
